id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.08,0.04
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.74,0.03
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.18,0.05
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.82,0.02
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.10,0.06
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.93,0.01
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.67,0.04
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.52,0.03
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.02
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.15,0.04
11,Thunder Parade,Iron Atlas,heavy metal,aggressive,0.97,168,0.34,0.69,0.07,0.12,0.08
12,Moonlit Sonata,Velvet Keys,classical,serene,0.18,64,0.68,0.32,0.95,0.97,0.01
13,Sunbeam Rhythm,Afro Loop,afrobeat,festive,0.79,122,0.83,0.84,0.16,0.21,0.06
14,Neon Harbor,City Pulse,house,euphoric,0.88,128,0.87,0.90,0.09,0.28,0.05
15,Dust Road Hymn,Carson West,country,wistful,0.41,96,0.57,0.55,0.73,0.36,0.04
16,Midnight Static,Shadow Grid,trap,dark,0.84,142,0.39,0.77,0.08,0.14,0.18
17,Velvet Groove,Blue Ember,soul,warm,0.63,104,0.79,0.71,0.24,0.46,0.05
18,Broken Amplifier,Rebel Phase,punk,rebellious,0.91,176,0.31,0.74,0.06,0.11,0.09
19,Golden Horizon,Open Sky Orchestra,cinematic,dramatic,0.52,86,0.66,0.48,0.44,0.78,0.03
20,Echoes in Smoke,Analog Drift,trip hop,moody,0.57,92,0.47,0.63,0.39,0.61,0.07
